Property_Type,BHK,Bathrooms,Balcony,Area_SqFt,Locality,City,Price_INR,Property_Age,Floor_Number,Furnished_Status,Metro_Distance,Hospital_Distance,School_Distance,Mall_Distance,Airport_Distance,Crime_Index,Infrastructure_Growth_Score
Super built-up  Area,2.0,2.0,1.0,1097.0,Battarahalli,Bangalore,4900000.0,10,7,Semi-Furnished,2.99,2.28,1.31,6.42,26.76,11,86
Super built-up  Area,2.0,3.0,2.0,1200.0,Kalena Agrahara,Bangalore,7000000.0,11,3,Fully Furnished,10.79,2.87,1.78,2.07,40.16,14,81
Super built-up  Area,3.0,3.0,2.0,2160.0,Varthur,Bangalore,17000000.0,13,3,Unfurnished,6.49,1.87,3.46,8.72,41.82,26,85
Super built-up  Area,2.0,2.0,2.0,1140.0,Anekal,Bangalore,5200000.0,12,12,Unfurnished,10.94,2.58,3.76,8.77,39.44,19,97
Super built-up  Area,2.0,2.0,2.0,1297.0,Thigalarapalya,Bangalore,9800000.0,9,7,Semi-Furnished,2.28,2.19,4.0,6.59,31.22,34,88
Super built-up  Area,2.0,2.0,0.0,1150.0,Padmanabhanagar,Bangalore,5000000.0,17,11,Fully Furnished,2.3,3.41,1.75,8.39,27.84,26,90
Super built-up  Area,2.0,2.0,1.0,1375.0,Kuvempu Nagar,Bangalore,4500000.0,15,10,Fully Furnished,11.32,3.75,1.78,2.78,33.2,34,85
Super built-up  Area,2.0,2.0,2.0,1245.0,Babusapalaya,Bangalore,5800000.0,4,4,Semi-Furnished,9.61,3.96,2.32,5.48,30.74,23,87
Super built-up  Area,4.0,6.0,1.0,4750.0,Vasanth nagar,Bangalore,94800000.0,7,2,Semi-Furnished,3.03,4.04,0.81,2.19,34.9,20,90
Built-up  Area,4.0,3.0,0.0,1800.0,Nagarbhavi,Bangalore,18000000.0,13,9,Semi-Furnished,10.85,2.09,2.85,6.08,25.39,13,82
Super built-up  Area,3.0,3.0,2.0,1594.0,Brookefield,Bangalore,14000000.0,4,14,Unfurnished,10.46,3.27,3.24,9.85,42.46,31,89
Super built-up  Area,2.0,2.0,2.0,700.0,Kanakpura Road,Bangalore,3600000.0,7,13,Unfurnished,7.15,2.78,3.33,2.74,40.93,16,89
Built-up  Area,5.0,4.0,0.0,2500.0,Rajaji Nagar,Bangalore,65000000.0,5,9,Semi-Furnished,3.23,3.38,0.23,2.73,40.85,16,97
Built-up  Area,2.0,2.0,0.0,1000.0,Raja Rajeshwari Nagar,Bangalore,5000000.0,15,6,Fully Furnished,5.94,2.09,3.92,8.32,37.15,17,80
Plot  Area,6.0,5.0,1.0,4000.0,Whitefield,Bangalore,54000000.0,3,14,Unfurnished,7.28,1.36,2.43,4.64,39.55,34,93
Plot  Area,6.0,6.0,0.0,1200.0,Uday Nagar,Bangalore,8500000.0,11,2,Semi-Furnished,3.7,3.77,0.23,3.4,33.78,14,91
Plot  Area,5.0,3.0,0.0,600.0,OMBR Layout,Bangalore,14000000.0,10,3,Unfurnished,10.51,2.2,2.73,2.85,29.98,11,92
Super built-up  Area,3.0,2.0,2.0,1570.0,Gopalkrishna Nagar,Bangalore,9500000.0,2,5,Unfurnished,10.25,3.79,1.33,6.14,29.7,15,89
Super built-up  Area,2.0,2.0,2.0,1290.0,Sarjapur  Road,Bangalore,8800000.0,11,11,Semi-Furnished,1.74,3.68,1.06,5.74,27.74,22,85
Super built-up  Area,2.0,2.0,1.0,1200.0,Kudlu Gate,Bangalore,4440000.0,4,11,Fully Furnished,1.71,4.97,3.98,9.26,44.49,31,89
Super built-up  Area,3.0,5.0,2.0,2777.29,Langford Gardens,Bangalore,64900000.0,5,5,Fully Furnished,6.09,2.15,0.31,5.29,38.44,10,83
Super built-up  Area,3.0,3.0,0.0,2250.0,Shanti Nagar,Bangalore,18000000.0,18,13,Unfurnished,11.2,3.57,3.5,6.28,42.88,11,90
Built-up  Area,2.0,2.0,2.0,1270.0,Defence Colony,Bangalore,17200000.0,17,9,Fully Furnished,9.57,3.62,3.79,5.34,25.62,29,82
Super built-up  Area,2.0,2.0,2.0,1145.0,Akshayanagara East,Bangalore,4400000.0,15,10,Fully Furnished,11.56,4.72,1.59,8.69,37.65,23,97
Super built-up  Area,3.0,2.0,2.0,1320.0,Chikkabanavar,Bangalore,4600000.0,10,3,Semi-Furnished,4.48,2.74,1.97,2.1,35.05,28,85
Built-up  Area,2.0,2.0,1.0,1065.0,Electronic City Phase II,Bangalore,3075000.0,4,2,Semi-Furnished,11.67,3.49,2.63,4.9,29.82,26,89
Built-up  Area,3.0,3.0,2.0,1650.0,Whitefield,Bangalore,4800000.0,8,10,Semi-Furnished,7.08,3.9,0.29,8.81,25.62,32,87
Super built-up  Area,2.0,2.0,1.0,1371.0,Sarjapur  Road,Bangalore,8600000.0,2,8,Fully Furnished,7.92,4.95,2.69,1.35,28.32,17,94
Built-up  Area,5.0,5.0,2.0,2700.0,Doddanakunte,Bangalore,15000000.0,7,7,Fully Furnished,3.9,2.57,0.63,7.78,38.95,26,93
Super built-up  Area,3.0,3.0,1.0,1575.0,Electronic City,Bangalore,9450000.0,5,12,Semi-Furnished,6.34,1.65,0.24,3.35,33.99,31,80
Super built-up  Area,2.0,2.0,2.0,1362.0,Yelahanka,Bangalore,6600000.0,3,9,Fully Furnished,9.44,3.22,0.43,7.99,36.29,28,80
Built-up  Area,5.0,3.0,2.0,3210.0,Bettahalsoor,Bangalore,35300000.0,11,3,Semi-Furnished,5.19,2.45,1.03,6.33,44.32,16,87
Super built-up  Area,3.0,3.0,1.0,1255.0,Haralur Road,Bangalore,9000000.0,11,6,Unfurnished,2.23,0.94,1.74,4.65,32.87,18,92
Super built-up  Area,2.0,2.0,1.0,925.0,Whitefield,Bangalore,3500000.0,15,5,Unfurnished,10.3,2.51,3.55,8.06,28.67,24,81
Super built-up  Area,2.0,2.0,1.0,1088.0,Electronics City Phase 1,Bangalore,3046000.0,9,5,Fully Furnished,1.85,3.63,1.92,3.17,25.97,20,80
Super built-up  Area,3.0,3.0,2.0,2140.0,Sarjapur  Road,Bangalore,13900000.0,13,10,Fully Furnished,2.51,2.57,1.68,4.64,26.75,28,97
Super built-up  Area,3.0,3.0,2.0,1584.0,Thubarahalli,Bangalore,10100000.0,12,8,Fully Furnished,8.19,3.07,0.98,2.13,28.64,11,93
Super built-up  Area,2.0,2.0,2.0,1175.0,Whitefield,Bangalore,5000000.0,8,1,Fully Furnished,8.52,3.69,3.99,2.63,27.18,11,82
Super built-up  Area,3.0,3.0,3.0,1555.0,Sarjapura - Attibele Road,Bangalore,5200000.0,6,1,Unfurnished,7.27,2.79,2.73,5.58,41.59,29,95
Super built-up  Area,3.0,2.0,2.0,1585.0,Dodda Nekkundi,Bangalore,7900000.0,11,3,Semi-Furnished,2.32,0.94,1.92,3.19,44.32,28,86
Super built-up  Area,2.0,2.0,2.0,1354.0,Kalena Agrahara,Bangalore,7100000.0,4,11,Unfurnished,9.66,3.61,1.43,2.31,42.86,21,84
Super built-up  Area,2.0,2.0,2.0,1165.0,Madiwala,Bangalore,4500000.0,17,2,Semi-Furnished,7.78,1.37,2.0,4.91,28.36,16,86
Built-up  Area,3.0,3.0,1.0,1200.0,Kumaraswami Layout,Bangalore,7500000.0,3,2,Fully Furnished,8.54,3.72,3.07,2.57,30.56,17,82
Super built-up  Area,3.0,2.0,1.0,1740.0,Hebbal,Bangalore,13700000.0,1,2,Semi-Furnished,1.53,1.88,1.43,8.93,27.79,16,89
Plot  Area,9.0,9.0,2.0,1200.0,Hebbal,Bangalore,18500000.0,2,4,Semi-Furnished,2.42,2.92,1.24,8.99,36.61,19,92
Plot  Area,3.0,4.0,2.0,600.0,Kattigenahalli,Bangalore,7000000.0,11,1,Semi-Furnished,9.07,0.79,1.06,9.17,25.98,31,97
Super built-up  Area,3.0,2.0,2.0,1340.0,Duddanahalli,Bangalore,4700000.0,2,10,Semi-Furnished,8.62,1.79,1.64,9.65,43.78,17,80
Super built-up  Area,3.0,3.0,1.0,1583.0,Begur Road,Bangalore,9523000.0,3,9,Unfurnished,3.58,4.66,0.32,3.22,33.96,21,94
Plot  Area,4.0,5.0,2.0,1200.0,"Beml layout, Rajarajeshwari nagar",Bangalore,32500000.0,5,14,Fully Furnished,6.8,2.86,3.03,6.09,28.54,24,91
Plot  Area,2.0,1.0,1.0,1200.0,Basaveshwara Nagar,Bangalore,18000000.0,11,5,Fully Furnished,4.78,4.58,3.83,3.66,38.69,26,94
Super built-up  Area,2.0,2.0,0.0,1122.5,Bannerghatta Road,Bangalore,6174000.0,18,5,Semi-Furnished,8.06,4.73,3.64,2.57,31.62,30,91
Super built-up  Area,3.0,3.0,2.0,1573.0,Thanisandra,Bangalore,10000000.0,9,9,Fully Furnished,9.87,1.75,3.11,3.45,29.47,30,83
Super built-up  Area,2.0,2.0,2.0,1227.0,CV Raman Nagar,Bangalore,4288000.0,0,14,Unfurnished,3.47,4.58,2.85,3.92,28.09,32,84
Super built-up  Area,2.0,2.0,1.0,1210.0,Yemlur,Bangalore,6000000.0,16,5,Semi-Furnished,8.32,3.46,1.34,5.14,40.34,15,84
Super built-up  Area,3.0,3.0,3.0,1650.0,Basavangudi,Bangalore,12500000.0,15,13,Fully Furnished,6.06,2.95,0.61,2.34,32.37,22,93
Plot  Area,5.0,4.0,2.0,1000.0,Chikkalasandra,Bangalore,30000000.0,8,13,Fully Furnished,3.52,2.32,1.88,1.67,36.0,11,90
Super built-up  Area,3.0,2.0,2.0,1485.0,Raja Rajeshwari Nagar,Bangalore,6300000.0,8,11,Semi-Furnished,5.66,1.64,3.41,4.5,31.15,29,81
Super built-up  Area,3.0,3.0,2.0,1735.0,Haralur Road,Bangalore,9700000.0,8,14,Unfurnished,2.59,2.3,2.26,6.13,36.56,14,95
Super built-up  Area,3.0,3.0,2.0,1730.0,Hebbal Kempapura,Bangalore,17500000.0,11,8,Semi-Furnished,8.41,3.44,2.9,8.32,43.0,15,90
Super built-up  Area,3.0,3.0,2.0,1684.0,Sector 1 HSR Layout,Bangalore,8600000.0,8,11,Semi-Furnished,11.98,2.13,3.7,5.47,35.73,32,92
Super built-up  Area,3.0,3.0,3.0,1686.0,Sai Gardens,Bangalore,7700000.0,14,1,Fully Furnished,9.2,2.09,2.79,7.28,44.27,16,80
Super built-up  Area,3.0,3.0,3.0,1654.0,Bikasipura,Bangalore,8200000.0,1,1,Fully Furnished,10.45,2.95,0.46,8.76,43.06,34,87
Built-up  Area,3.0,3.0,3.0,1600.0,Green Glen Layout,Bangalore,10500000.0,10,4,Semi-Furnished,3.87,0.7,0.55,7.09,36.91,19,89
Built-up  Area,2.0,2.0,1.0,1100.0,KR Puram,Bangalore,3990000.0,10,8,Semi-Furnished,2.61,3.25,0.51,2.62,25.5,32,82
Super built-up  Area,3.0,3.0,3.0,1655.0,Bannerghatta Road,Bangalore,9500000.0,7,3,Fully Furnished,1.52,1.82,1.56,6.77,32.86,19,96
Super built-up  Area,3.0,3.0,3.0,1830.0,Hennur,Bangalore,12100000.0,5,1,Semi-Furnished,9.16,2.71,1.29,9.82,26.6,32,93
Super built-up  Area,3.0,3.0,1.0,1430.0,Hebbal,Bangalore,8500000.0,19,11,Unfurnished,10.14,4.23,0.62,8.35,27.69,28,95
Super built-up  Area,3.0,4.0,3.0,1989.0,Judicial Layout,Bangalore,15500000.0,6,12,Semi-Furnished,3.49,4.07,1.69,5.92,43.32,22,89
Super built-up  Area,2.0,2.0,2.0,1044.0,Sarjapur  Road,Bangalore,5500000.0,2,9,Unfurnished,6.52,1.81,0.94,8.98,26.08,27,93
Super built-up  Area,3.0,3.0,2.0,1426.0,Banashankari,Bangalore,8500000.0,7,9,Semi-Furnished,7.64,0.73,1.67,1.48,44.28,30,87
Super built-up  Area,2.0,2.0,1.0,1000.0,Yelahanka,Bangalore,2900000.0,17,9,Semi-Furnished,11.56,2.2,1.89,8.02,40.48,31,93
Plot  Area,2.0,2.0,0.0,754.0,Kathriguppe,Bangalore,6998999.999999999,16,9,Semi-Furnished,11.1,1.03,0.22,6.72,34.22,16,94
Super built-up  Area,2.0,2.0,1.0,900.0,Kodichikkanahalli,Bangalore,3500000.0,10,2,Fully Furnished,1.67,2.44,2.85,2.63,39.05,23,83
Built-up  Area,2.0,2.0,3.0,1200.0,Gulakamale,Bangalore,5000000.0,1,14,Fully Furnished,2.02,4.23,1.61,8.02,29.29,34,82
Built-up  Area,1.0,1.0,1.0,580.0,Malleshwaram,Bangalore,4500000.0,18,14,Fully Furnished,11.57,1.96,3.15,9.41,43.5,14,84
Super built-up  Area,2.0,2.0,1.0,1030.0,Munnekollal,Bangalore,5036000.0,6,11,Fully Furnished,2.11,4.16,0.64,7.79,43.16,29,89
Super built-up  Area,3.0,4.0,3.0,1910.0,Koramangala,Bangalore,15000000.0,17,11,Fully Furnished,7.61,4.86,1.3,7.31,30.53,21,96
Super built-up  Area,3.0,3.0,3.0,1950.0,Mahalakshmi Puram,Bangalore,13200000.0,7,11,Fully Furnished,2.33,3.55,1.22,7.75,27.91,31,89
Plot  Area,3.0,2.0,2.0,1200.0,Konanakunte Cross,Bangalore,13000000.0,13,4,Semi-Furnished,8.5,4.32,0.24,2.01,42.48,16,82
Plot  Area,2.0,2.0,0.0,1314.0,Rajaji Nagar,Bangalore,22500000.0,6,2,Unfurnished,3.43,4.29,2.02,9.03,36.53,10,92
Built-up  Area,2.0,2.0,2.0,1400.0,Kothanur,Bangalore,6500000.0,3,7,Fully Furnished,1.86,0.59,3.86,6.63,28.66,29,82
Super built-up  Area,3.0,2.0,2.0,1400.0,Kaggadasapura,Bangalore,6800000.0,16,11,Fully Furnished,4.43,3.48,0.25,3.58,37.44,34,81
Super built-up  Area,2.0,2.0,2.0,1115.0,Hulimavu,Bangalore,4460000.0,4,3,Semi-Furnished,7.08,3.97,2.56,1.67,40.78,10,97
Built-up  Area,2.0,2.0,2.0,1300.0,Bharathi Nagar,Bangalore,5586000.0,11,9,Fully Furnished,7.12,2.5,3.46,7.85,42.15,22,93
Built-up  Area,4.0,4.0,1.0,2400.0,Arishinakunte,Bangalore,15000000.0,8,7,Semi-Furnished,9.52,4.31,3.21,6.91,42.26,20,90
Super built-up  Area,2.0,2.0,1.0,1332.0,Kanakpura Road,Bangalore,10800000.0,19,8,Fully Furnished,2.14,3.49,1.29,6.98,26.71,21,86
Super built-up  Area,2.0,2.0,1.0,1000.0,Abbigere,Bangalore,4100000.0,12,9,Unfurnished,1.59,3.58,0.87,5.16,39.37,32,81
Plot  Area,3.0,3.0,2.0,1200.0,Whitefield,Bangalore,6775000.0,17,8,Fully Furnished,9.0,2.34,1.01,8.75,31.32,17,85
Built-up  Area,4.0,4.0,2.0,2444.0,Whitefield,Bangalore,14500000.0,19,7,Fully Furnished,11.52,4.48,1.52,9.12,30.72,28,94
Super built-up  Area,3.0,3.0,1.0,1600.0,Sarjapur  Road,Bangalore,8500000.0,8,9,Semi-Furnished,3.52,2.21,0.59,6.07,39.11,30,83
Super built-up  Area,2.0,2.0,2.0,1196.0,Marathahalli,Bangalore,5795000.0,3,11,Fully Furnished,3.07,1.16,1.24,8.12,27.59,14,87
Super built-up  Area,2.0,2.0,1.0,1025.0,Electronic City,Bangalore,5400000.0,7,1,Semi-Furnished,5.1,1.91,1.07,8.1,29.96,18,88
Super built-up  Area,3.0,4.0,3.0,2180.0,Sarjapur  Road,Bangalore,18000000.0,0,11,Unfurnished,8.87,2.31,3.89,7.12,40.44,24,92
Super built-up  Area,3.0,3.0,2.0,1600.0,Jakkasandra,Bangalore,10200000.0,16,4,Fully Furnished,9.5,3.89,2.75,4.52,28.13,32,88
Built-up  Area,2.0,2.0,1.0,1270.0,Whitefield,Bangalore,11000000.0,8,4,Semi-Furnished,11.34,0.89,2.58,4.52,43.75,13,97
Built-up  Area,3.0,4.0,2.0,3290.0,Shanthala Nagar,Bangalore,46000000.0,19,5,Unfurnished,9.92,3.46,3.56,2.94,35.63,18,82
Super built-up  Area,3.0,3.0,2.0,1932.47,Jakkur,Bangalore,18300000.0,12,8,Unfurnished,1.79,2.8,0.87,1.33,37.98,16,95
Super built-up  Area,3.0,3.0,2.0,2086.0,Jalahalli,Bangalore,16000000.0,1,10,Semi-Furnished,3.67,1.92,0.47,4.27,42.52,15,90
Super built-up  Area,2.0,2.0,1.0,1165.0,Old Madras Road,Bangalore,5142000.0,12,1,Semi-Furnished,5.23,2.28,3.54,6.94,37.59,29,87
Super built-up  Area,2.0,2.0,2.0,1440.0,Rajaji Nagar,Bangalore,16500000.0,8,6,Fully Furnished,11.44,3.64,1.54,4.64,36.4,29,86
Super built-up  Area,3.0,3.0,2.0,1900.0,Electronics City Phase 1,Bangalore,8500000.0,19,9,Unfurnished,7.86,3.21,1.66,6.65,28.76,23,89
Built-up  Area,2.0,1.0,1.0,740.0,Chandapura,Bangalore,2200000.0,5,10,Unfurnished,11.96,0.82,0.32,8.43,27.77,25,87
Super built-up  Area,3.0,3.0,3.0,2503.0,Yeshwanthpur,Bangalore,13800000.0,0,8,Semi-Furnished,4.84,0.95,0.26,5.96,29.54,21,94
Super built-up  Area,2.0,2.0,2.0,1260.0,Bellandur,Bangalore,8350000.0,4,2,Unfurnished,11.17,3.66,2.86,4.63,35.52,20,82
Built-up  Area,4.0,2.0,1.0,1100.0,Tumkur Road,Bangalore,6000000.0,2,7,Semi-Furnished,8.84,4.46,2.65,1.32,42.27,14,89
Super built-up  Area,3.0,3.0,3.0,1717.0,Green Glen Layout,Bangalore,12500000.0,3,5,Fully Furnished,10.81,1.22,1.28,4.48,29.81,10,91
Super built-up  Area,2.0,2.0,2.0,1088.0,Chellikere,Bangalore,4600000.0,0,2,Semi-Furnished,11.19,3.18,1.01,6.52,44.44,29,96
Super built-up  Area,3.0,2.0,1.0,1335.0,Raja Rajeshwari Nagar,Bangalore,5600000.0,13,11,Fully Furnished,6.26,1.43,3.23,8.84,34.02,26,95
Super built-up  Area,2.0,2.0,1.0,1200.0,Vidyaranyapura,Bangalore,4200000.0,8,1,Semi-Furnished,10.66,4.93,0.51,3.59,27.08,23,96
Super built-up  Area,3.0,2.0,2.0,1325.0,Garudachar Palya,Bangalore,6000000.0,3,2,Fully Furnished,11.82,3.33,2.58,4.3,36.03,28,86
Super built-up  Area,2.0,2.0,1.0,1157.0,JP Nagar,Bangalore,7300000.0,17,11,Unfurnished,8.5,4.18,0.58,4.57,42.42,23,81
Super built-up  Area,4.0,3.0,2.0,2283.0,KR Puram,Bangalore,12100000.0,13,10,Semi-Furnished,4.22,1.8,3.92,8.05,44.7,12,95
Super built-up  Area,2.0,2.0,1.0,1200.0,Sahakara Nagar,Bangalore,5400000.0,3,6,Semi-Furnished,4.33,2.02,3.94,7.33,37.43,10,97
Super built-up  Area,3.0,2.0,2.0,1510.0,Pai Layout,Bangalore,6500000.0,9,11,Semi-Furnished,9.4,1.16,1.24,1.88,35.02,12,84
Super built-up  Area,2.0,2.0,2.0,1050.0,Bommanahalli,Bangalore,5400000.0,2,12,Fully Furnished,4.95,3.56,2.62,3.72,35.27,20,88
Super built-up  Area,2.0,2.0,2.0,1200.0,Chikkadunnasandra,Bangalore,4500000.0,6,8,Semi-Furnished,5.82,4.92,0.26,9.1,40.97,26,88
Super built-up  Area,3.0,3.0,1.0,1516.0,Binny Pete,Bangalore,14700000.0,9,3,Semi-Furnished,7.03,2.71,1.46,7.52,36.42,23,88
Plot  Area,6.0,6.0,2.0,2400.0,Indira Nagar,Bangalore,47500000.0,12,5,Unfurnished,11.07,0.93,1.1,8.48,42.46,16,87
Super built-up  Area,2.0,2.0,1.0,1050.0,Channasandra,Bangalore,4441000.0,3,11,Semi-Furnished,8.97,0.56,1.31,6.72,28.04,20,89
Plot  Area,2.0,2.0,0.0,1000.0,Hegde Nagar,Bangalore,6600000.0,17,2,Semi-Furnished,4.56,3.69,1.77,8.42,43.18,26,80
Super built-up  Area,2.0,2.0,2.0,1050.0,9th Phase JP Nagar,Bangalore,3500000.0,10,12,Semi-Furnished,2.9,1.31,1.78,7.7,43.77,30,94
Plot  Area,4.0,5.0,2.0,600.0,JP Nagar,Bangalore,11000000.0,3,8,Semi-Furnished,4.54,4.7,1.69,7.84,44.01,12,85
Plot  Area,4.0,3.0,2.0,600.0,Ananth Nagar,Bangalore,6200000.0,13,4,Unfurnished,5.0,3.8,3.33,5.28,32.96,25,87
Super built-up  Area,2.0,2.0,3.0,1210.0,Hormavu,Bangalore,6900000.0,17,11,Semi-Furnished,9.19,1.34,0.41,6.31,41.74,11,81
Super built-up  Area,3.0,3.0,1.0,1660.0,Whitefield,Bangalore,11000000.0,7,10,Semi-Furnished,5.97,4.56,1.43,7.01,42.19,31,81
Super built-up  Area,2.0,2.0,3.0,1410.0,Malleshwaram,Bangalore,12500000.0,9,12,Unfurnished,11.98,1.5,0.29,2.12,32.43,20,85
Super built-up  Area,2.0,2.0,1.0,1305.0,Electronics City Phase 1,Bangalore,6700000.0,4,6,Fully Furnished,1.86,4.8,0.51,9.15,26.9,12,91
Built-up  Area,6.0,6.0,2.0,1800.0,Kavika Layout,Bangalore,10100000.0,6,3,Fully Furnished,5.22,1.79,3.21,3.75,32.14,10,95
Built-up  Area,2.0,2.0,3.0,1206.0,Bannerghatta Road,Bangalore,5300000.0,11,11,Unfurnished,2.4,1.06,0.83,3.44,25.1,22,85
Super built-up  Area,2.0,2.0,2.0,1150.0,Bannerghatta Road,Bangalore,5500000.0,2,8,Unfurnished,5.25,3.07,1.52,5.3,31.93,27,80
Carpet  Area,2.0,2.0,2.0,1100.0,Dinnur,Bangalore,6500000.0,3,8,Fully Furnished,6.05,3.18,3.38,7.23,28.35,29,81
Super built-up  Area,2.0,2.0,1.0,1245.0,Banashankari Stage II,Bangalore,12500000.0,9,3,Semi-Furnished,10.86,3.33,2.88,6.61,25.01,26,82
Built-up  Area,3.0,3.0,3.0,1850.0,Cooke Town,Bangalore,11000000.0,3,12,Fully Furnished,5.97,1.72,0.97,5.63,29.77,24,96
Built-up  Area,4.0,4.0,1.0,3385.0,Hoodi,Bangalore,22000000.0,14,9,Semi-Furnished,1.77,2.17,3.97,1.86,42.24,18,89
Super built-up  Area,4.0,3.0,2.0,2150.0,Sompura,Bangalore,8500000.0,9,10,Unfurnished,11.53,4.96,1.22,9.59,42.48,34,89
Super built-up  Area,3.0,3.0,1.0,3895.0,Hebbal,Bangalore,39000000.0,15,13,Unfurnished,3.03,2.3,1.28,1.01,44.94,21,96
Super built-up  Area,2.0,2.0,2.0,1035.0,Lingarajapuram,Bangalore,5500000.0,14,5,Unfurnished,9.62,0.96,2.68,4.88,29.82,17,80
Super built-up  Area,2.0,3.0,2.0,600.0,Nandini Layout,Bangalore,7200000.0,18,10,Fully Furnished,3.6,2.42,2.9,8.6,32.01,25,82
Super built-up  Area,3.0,3.0,3.0,1200.0,Zuzuvadi,Bangalore,7500000.0,19,9,Unfurnished,11.2,1.36,2.42,1.18,32.98,17,83
Plot  Area,7.0,6.0,2.0,1200.0,BCC Layout,Bangalore,23500000.0,18,7,Fully Furnished,3.88,1.17,0.82,6.44,40.06,23,89
Super built-up  Area,1.0,1.0,0.0,755.0,Electronics City Phase 1,Bangalore,3012000.0,17,10,Semi-Furnished,10.48,2.22,0.49,9.28,30.78,17,96
Built-up  Area,2.0,2.0,2.0,960.0,Ramamurthy Nagar,Bangalore,3500000.0,11,3,Semi-Furnished,5.85,2.05,3.75,2.27,40.96,23,91
Super built-up  Area,1.0,1.0,1.0,450.0,Harsha Layout,Bangalore,2000000.0,15,6,Semi-Furnished,6.2,1.03,1.52,5.06,42.09,29,86
Super built-up  Area,5.0,5.0,2.0,4000.0,Infantry Road,Bangalore,68000000.0,0,10,Unfurnished,8.11,0.58,3.42,9.53,43.85,34,80
Super built-up  Area,3.0,3.0,3.0,1571.0,Raja Rajeshwari Nagar,Bangalore,5312000.0,15,2,Semi-Furnished,6.62,3.35,0.85,8.96,30.61,16,88
Super built-up  Area,3.0,2.0,1.0,1489.0,Kanakapura,Bangalore,7000000.0,1,6,Unfurnished,5.04,1.58,2.12,1.56,35.39,27,86
Built-up  Area,2.0,2.0,1.0,800.0,Kengeri Satellite Town,Bangalore,3200000.0,14,12,Fully Furnished,4.05,4.35,3.54,5.37,36.54,34,80
Built-up  Area,3.0,2.0,2.0,980.0,Jalahalli,Bangalore,6000000.0,6,5,Unfurnished,4.3,1.89,1.65,9.42,28.77,30,91
Super built-up  Area,2.0,2.0,1.0,1215.0,Bannerghatta Road,Bangalore,6500000.0,0,13,Semi-Furnished,8.89,2.95,0.26,7.47,41.05,28,95
Super built-up  Area,2.0,2.0,1.0,911.0,Electronic City Phase II,Bangalore,2650000.0,4,3,Unfurnished,2.64,1.5,3.79,5.54,43.48,32,95
Super built-up  Area,3.0,3.0,2.0,1535.0,Bellandur,Bangalore,9000000.0,9,14,Unfurnished,7.4,1.33,2.61,1.05,28.79,13,88
Plot  Area,5.0,5.0,2.0,1200.0,5th Block Hbr Layout,Bangalore,20500000.0,3,7,Fully Furnished,5.48,4.75,1.03,5.66,41.49,26,86
Super built-up  Area,3.0,2.0,1.0,1500.0,R.T. Nagar,Bangalore,7000000.0,13,11,Unfurnished,5.21,3.55,3.08,9.28,30.4,32,87
Built-up  Area,2.0,2.0,3.0,1588.0,Brookefield,Bangalore,5800000.0,12,4,Semi-Furnished,9.01,4.77,1.13,5.91,32.43,20,97
Plot  Area,4.0,4.0,2.0,675.0,Horamavu Banaswadi,Bangalore,6800000.0,0,11,Unfurnished,6.78,1.4,0.48,2.37,26.22,19,81
Built-up  Area,2.0,2.0,2.0,957.0,Kannamangala,Bangalore,5600000.0,15,14,Unfurnished,2.31,3.87,0.26,7.71,43.37,32,96
Built-up  Area,2.0,2.0,1.0,1200.0,Electronic City Phase II,Bangalore,3465000.0,8,6,Semi-Furnished,11.05,1.51,0.23,4.69,28.18,27,86
Super built-up  Area,3.0,2.0,2.0,1495.0,Kanakapura main  Road,Bangalore,5233000.0,15,9,Unfurnished,10.93,3.87,0.6,6.52,25.55,31,86
Built-up  Area,2.0,2.0,0.0,845.0,Bisuvanahalli,Bangalore,3400000.0,18,12,Fully Furnished,5.97,4.24,1.9,9.9,32.06,19,88
Built-up  Area,4.0,4.0,2.0,3000.0,Padmanabhanagar,Bangalore,35000000.0,14,14,Semi-Furnished,1.64,1.46,3.89,9.39,34.6,20,96
Super built-up  Area,3.0,4.0,1.0,2206.0,Sarjapur  Road,Bangalore,18000000.0,13,6,Semi-Furnished,2.13,2.15,2.13,5.47,34.07,13,96
Super built-up  Area,2.0,2.0,1.0,1181.0,Kasavanhalli,Bangalore,6100000.0,19,4,Unfurnished,6.66,3.22,1.08,3.29,32.96,15,87
Super built-up  Area,2.0,2.0,3.0,1309.0,Sarjapur  Road,Bangalore,6950000.0,9,10,Fully Furnished,2.35,4.6,3.19,1.22,41.29,21,95
Built-up  Area,3.0,3.0,3.0,1400.0,Horamavu Agara,Bangalore,6300000.0,11,2,Fully Furnished,6.15,0.62,3.33,4.67,42.11,31,91
Plot  Area,5.0,5.0,1.0,1650.0,B Channasandra,Bangalore,45000000.0,0,9,Semi-Furnished,3.49,3.01,2.5,2.25,42.52,34,84
Super built-up  Area,3.0,3.0,2.0,1622.0,Kanakpura Road,Bangalore,9500000.0,16,14,Semi-Furnished,9.93,1.12,1.54,3.03,39.33,19,89
Super built-up  Area,2.0,2.0,2.0,1225.0,CV Raman Nagar,Bangalore,4800000.0,8,4,Unfurnished,5.36,2.41,1.74,7.38,38.18,29,96
Super built-up  Area,3.0,3.0,3.0,1719.0,Jakkur Plantation,Bangalore,9500000.0,18,4,Semi-Furnished,5.47,2.9,2.8,2.27,33.58,25,87
